date,trades,value
2001/07/24,485589,1490722442150
2001/07/25,371429,1173231220500
2001/07/26,313189,1095177792050
2001/07/27,395951,1322265838200
2001/07/30,274101,939550518700
2001/07/31,202397,916393405150
2001/08/01,441170,1915759556900
2001/08/02,445704,1950386510150
2001/08/03,267802,1226627630100
2001/08/06,375431,1256285629900
2001/08/07,366593,1350179772700
2001/08/08,362125,1202683568500
2001/08/09,318622,1213865962450
2001/08/10,286535,989631211800
2001/08/13,298623,1159257544350
2001/08/14,539431,2032870096000
2001/08/16,525647,2119644509100
2001/08/17,437366,1804064133750
2001/08/20,381820,1397102526850
2001/08/21,356393,1432652126100
2001/08/22,525815,1961556258950
2001/08/23,482270,1655560743550
2001/08/24,415286,1434009267200
2001/08/27,478607,1817691699650
2001/08/28,445220,1373603617750
2001/08/29,468999,1494493720300
2001/08/30,711803,1500939431600
2001/08/31,720384,1789164304200
2001/09/03,415212,1096549101550
2001/09/04,499962,1342105216150
2001/09/05,788717,1717258100500
2001/09/06,588149,1617643176300
2001/09/07,491275,1566113512650
2001/09/10,595823,1579261047150
2001/09/11,612392,1640561014850
2001/09/12,242831,1659234192900
2001/09/13,1022942,2729721965200
2001/09/14,1021324,2422541140950
2001/09/17,732185,1705933290600
2001/09/18,693026,1977300483900
2001/09/19,783894,1953437140550
2001/09/20,627795,1788445683300
2001/09/21,564256,1941491265400
2001/09/24,538750,1613790906450
2001/09/25,640132,1956485368450
2001/09/26,423397,1322559524800
2001/09/27,453272,1322245946150
2001/09/28,426736,1526524908450
2001/10/04,547904,1961113226150
2001/10/05,781826,1909292857100
2001/10/08,687411,1566616128600
2001/10/09,655188,1810527507000
2001/10/10,474785,1323348197500
2001/10/11,598511,2000090247150
2001/10/12,628108,1875433734450
2001/10/15,373171,1224565278950
2001/10/16,419500,1533037673900
2001/10/17,448538,1760492582500
2001/10/18,387713,1485584358100
2001/10/19,661533,1638193996850
2001/10/22,428960,1154211234750
2001/10/23,466383,1508233043300
2001/10/24,382280,1769393535350
2001/10/25,640981,1739740942200
2001/10/26,359667,1376693759500
2001/10/29,412828,1168714339300
2001/10/30,359384,1105124329200
2001/10/31,592318,1265999144700
2001/11/01,461559,1268184730450
2001/11/02,855826,2786044633800
2001/11/05,417335,1323472154850
2001/11/06,493971,1818781950550
2001/11/07,449356,1480565870250
2001/11/08,531372,1913660661800
2001/11/09,823656,2646827350950
2001/11/12,743090,2307273415150
2001/11/13,861855,2626745960900
2001/11/14,943719,3551300199800
2001/11/15,803718,2980255822800
